Region,Year,Female,Male
World,2015,18.25,6.14
World,2016,18.2,6.19
World,2017,18.14,6.25
World,2018,18.08,6.3
World,2019,18.03,6.35
World,2020,17.97,6.4
World,2021,17.91,6.44
World,2022,17.85,6.48
World,2023,17.79,6.52
World,2024,17.73,6.56
World,2025,17.67,6.6
World,2026,17.61,6.63
World,2027,17.55,6.66
World,2028,17.49,6.69
World,2029,17.43,6.72
World,2030,17.37,6.75
World,2031,17.3,6.77
World,2032,17.24,6.79
World,2033,17.19,6.82
World,2034,17.13,6.84
World,2035,17.08,6.86
World,2036,17.03,6.88
World,2037,16.98,6.89
World,2038,16.93,6.91
World,2039,16.89,6.93
World,2040,16.85,6.94
World,2041,16.81,6.96
World,2042,16.78,6.97
World,2043,16.74,6.99
World,2044,16.71,7.0
World,2045,16.69,7.02
World,2046,16.66,7.04
World,2047,16.64,7.06
World,2048,16.62,7.07
World,2049,16.6,7.09
World,2050,16.58,7.11
Australia and New Zealand,2015,20.38,11.26
Australia and New Zealand,2016,20.31,11.28
Australia and New Zealand,2017,20.22,11.29
Australia and New Zealand,2018,20.14,11.31
Australia and New Zealand,2019,20.05,11.32
Australia and New Zealand,2020,19.97,11.33
Australia and New Zealand,2021,19.88,11.34
Australia and New Zealand,2022,19.79,11.34
Australia and New Zealand,2023,19.71,11.35
Australia and New Zealand,2024,19.63,11.34
Australia and New Zealand,2025,19.55,11.34
Australia and New Zealand,2026,19.47,11.33
Australia and New Zealand,2027,19.39,11.33
Australia and New Zealand,2028,19.31,11.32
Australia and New Zealand,2029,19.23,11.3
Australia and New Zealand,2030,19.15,11.29
Australia and New Zealand,2031,19.07,11.28
Australia and New Zealand,2032,18.99,11.26
Australia and New Zealand,2033,18.91,11.25
Australia and New Zealand,2034.0,18.83,11.23
Australia and New Zealand,2035.0,18.77,11.22
Australia and New Zealand,2036.0,18.71,11.2
Australia and New Zealand,2037.0,18.66,11.19
Australia and New Zealand,2038.0,18.62,11.18
Australia and New Zealand,2039.0,18.59,11.17
Australia and New Zealand,2040.0,18.57,11.16
Australia and New Zealand,2041.0,18.55,11.16
Australia and New Zealand,2042.0,18.53,11.16
Australia and New Zealand,2043.0,18.52,11.16
Australia and New Zealand,2044.0,18.51,11.16
Australia and New Zealand,2045.0,18.51,11.16
Australia and New Zealand,2046.0,18.5,11.16
Australia and New Zealand,2047.0,18.49,11.15
Australia and New Zealand,2048.0,18.48,11.14
Australia and New Zealand,2049.0,18.47,11.13
Australia and New Zealand,2050.0,18.45,11.11
Oceania (excl. Australia and New Zealand),2015.0,18.5,5.61
Oceania (excl. Australia and New Zealand),2016.0,18.53,5.684
Oceania (excl. Australia and New Zealand),2017.0,18.55,5.757
Oceania (excl. Australia and New Zealand),2018.0,18.58,5.829
Oceania (excl. Australia and New Zealand),2019.0,18.6,5.9
Oceania (excl. Australia and New Zealand),2020,18.62,5.968
Oceania (excl. Australia and New Zealand),2021.0,18.65,6.034
Oceania (excl. Australia and New Zealand),2022.0,18.67,6.1
Oceania (excl. Australia and New Zealand),2023.0,18.69,6.164
Oceania (excl. Australia and New Zealand),2024.0,18.71,6.228
Oceania (excl. Australia and New Zealand),2025.0,18.73,6.291
Oceania (excl. Australia and New Zealand),2026.0,18.76,6.354
Oceania (excl. Australia and New Zealand),2027.0,18.78,6.417
Oceania (excl. Australia and New Zealand),2028.0,18.8,6.479
Oceania (excl. Australia and New Zealand),2029.0,18.82,6.542
Oceania (excl. Australia and New Zealand),2030.0,18.84,6.604
Oceania (excl. Australia and New Zealand),2031.0,18.85,6.667
Oceania (excl. Australia and New Zealand),2032.0,18.87,6.729
Oceania (excl. Australia and New Zealand),2033.0,18.89,6.791
Oceania (excl. Australia and New Zealand),2034.0,18.9,6.852
Oceania (excl. Australia and New Zealand),2035.0,18.91,6.914
Oceania (excl. Australia and New Zealand),2036.0,18.93,6.975
Oceania (excl. Australia and New Zealand),2037.0,18.94,7.035
Oceania (excl. Australia and New Zealand),2038.0,18.94,7.095
Oceania (excl. Australia and New Zealand),2039.0,18.95,7.155
Oceania (excl. Australia and New Zealand),2040.0,18.95,7.212
Oceania (excl. Australia and New Zealand),2041.0,18.95,7.267
Oceania (excl. Australia and New Zealand),2042.0,18.95,7.321
Oceania (excl. Australia and New Zealand),2043,18.95,7.373
Oceania (excl. Australia and New Zealand),2044.0,18.95,7.423
Oceania (excl. Australia and New Zealand),2045.0,18.94,7.46
Oceania (excl. Australia and New Zealand),2046.0,18.94,7.497
Oceania (excl. Australia and New Zealand),2047.0,18.94,7.534
Oceania (excl. Australia and New Zealand),2048.0,18.93,7.571
Oceania (excl. Australia and New Zealand),2049.0,18.92,7.606
Oceania (excl. Australia and New Zealand),2050.0,18.91,7.643
Central and Southern Asia,2015.0,21.86,5.264
Central and Southern Asia,2016.0,21.81,5.365
Central and Southern Asia,2017.0,21.76,5.463
Central and Southern Asia,2018.0,21.71,5.558
Central and Southern Asia,2019.0,21.66,5.648
Central and Southern Asia,2020.0,21.6,5.735
Central and Southern Asia,2021.0,21.55,5.817
Central and Southern Asia,2022.0,21.49,5.895
Central and Southern Asia,2023.0,21.43,5.97
Central and Southern Asia,2024.0,21.36,6.042
Central and Southern Asia,2025.0,21.3,6.111
Central and Southern Asia,2026.0,21.23,6.177
Central and Southern Asia,2027.0,21.16,6.24
Central and Southern Asia,2028.0,21.09,6.3
Central and Southern Asia,2029.0,21.02,6.357
Central and Southern Asia,2030,20.94,6.41
Central and Southern Asia,2031.0,20.87,6.461
Central and Southern Asia,2032.0,20.79,6.508
Central and Southern Asia,2033.0,20.71,6.552
Central and Southern Asia,2034.0,20.64,6.594
Central and Southern Asia,2035.0,20.56,6.633
Central and Southern Asia,2036.0,20.48,6.669
Central and Southern Asia,2037.0,20.4,6.703
Central and Southern Asia,2038.0,20.31,6.734
Central and Southern Asia,2039.0,20.23,6.762
Central and Southern Asia,2040.0,20.15,6.788
Central and Southern Asia,2041.0,20.06,6.811
Central and Southern Asia,2042.0,19.98,6.833
Central and Southern Asia,2043.0,19.9,6.852
Central and Southern Asia,2044.0,19.81,6.868
Central and Southern Asia,2045.0,19.73,6.882
Central and Southern Asia,2046.0,19.65,6.894
Central and Southern Asia,2047.0,19.56,6.904
Central and Southern Asia,2048.0,19.48,6.912
Central and Southern Asia,2049.0,19.4,6.919
Central and Southern Asia,2050.0,19.32,6.925
Europe and Northern America,2015.0,16.81,9.165
Europe and Northern America,2016.0,16.7,9.172
Europe and Northern America,2017,16.6,9.175
Europe and Northern America,2018.0,16.49,9.176
Europe and Northern America,2019.0,16.4,9.174
Europe and Northern America,2020.0,16.3,9.17
Europe and Northern America,2021.0,16.21,9.163
Europe and Northern America,2022.0,16.12,9.153
Europe and Northern America,2023.0,16.02,9.14
Europe and Northern America,2024.0,15.93,9.124
Europe and Northern America,2025.0,15.83,9.106
Europe and Northern America,2026.0,15.74,9.087
Europe and Northern America,2027.0,15.64,9.066
Europe and Northern America,2028.0,15.55,9.043
Europe and Northern America,2029.0,15.46,9.02
Europe and Northern America,2030.0,15.36,8.995
Europe and Northern America,2031.0,15.27,8.971
Europe and Northern America,2032.0,15.17,8.947
Europe and Northern America,2033.0,15.08,8.923
Europe and Northern America,2034.0,15.0,8.9
Europe and Northern America,2035.0,14.92,8.877
Europe and Northern America,2036.0,14.85,8.857
Europe and Northern America,2037.0,14.78,8.84
Europe and Northern America,2038.0,14.73,8.825
Europe and Northern America,2039.0,14.69,8.813
Europe and Northern America,2040,14.67,8.805
Europe and Northern America,2041.0,14.65,8.799
Europe and Northern America,2042.0,14.63,8.794
Europe and Northern America,2043.0,14.62,8.791
Europe and Northern America,2044.0,14.62,8.789
Europe and Northern America,2045.0,14.62,8.788
Europe and Northern America,2046.0,14.62,8.788
Europe and Northern America,2047.0,14.62,8.788
Europe and Northern America,2048.0,14.63,8.789
Europe and Northern America,2049.0,14.64,8.79
Europe and Northern America,2050.0,14.65,8.79
Eastern and South-Eastern Asia,2015.0,15.93,6.053
Eastern and South-Eastern Asia,2016.0,15.85,6.084
Eastern and South-Eastern Asia,2017.0,15.77,6.111
Eastern and South-Eastern Asia,2018.0,15.68,6.135
Eastern and South-Eastern Asia,2019.0,15.59,6.158
Eastern and South-Eastern Asia,2020.0,15.5,6.179
Eastern and South-Eastern Asia,2021.0,15.4,6.198
Eastern and South-Eastern Asia,2022.0,15.31,6.215
Eastern and South-Eastern Asia,2023.0,15.2,6.231
Eastern and South-Eastern Asia,2024.0,15.1,6.243
Eastern and South-Eastern Asia,2025.0,15.0,6.253
Eastern and South-Eastern Asia,2026.0,14.89,6.259
Eastern and South-Eastern Asia,2027,14.78,6.262
Eastern and South-Eastern Asia,2028.0,14.67,6.261
Eastern and South-Eastern Asia,2029.0,14.56,6.257
Eastern and South-Eastern Asia,2030.0,14.45,6.249
Eastern and South-Eastern Asia,2031.0,14.34,6.239
Eastern and South-Eastern Asia,2032.0,14.23,6.225
Eastern and South-Eastern Asia,2033.0,14.13,6.21
Eastern and South-Eastern Asia,2034.0,14.03,6.193
Eastern and South-Eastern Asia,2035.0,13.94,6.177
Eastern and South-Eastern Asia,2036.0,13.85,6.161
Eastern and South-Eastern Asia,2037.0,13.78,6.146
Eastern and South-Eastern Asia,2038.0,13.71,6.132
Eastern and South-Eastern Asia,2039.0,13.64,6.121
Eastern and South-Eastern Asia,2040.0,13.58,6.113
Eastern and South-Eastern Asia,2041.0,13.52,6.107
Eastern and South-Eastern Asia,2042.0,13.46,6.104
Eastern and South-Eastern Asia,2043.0,13.41,6.104
Eastern and South-Eastern Asia,2044.0,13.37,6.105
Eastern and South-Eastern Asia,2045.0,13.35,6.107
Eastern and South-Eastern Asia,2046.0,13.33,6.11
Eastern and South-Eastern Asia,2047.0,13.31,6.112
Eastern and South-Eastern Asia,2048.0,13.3,6.114
Eastern and South-Eastern Asia,2049.0,13.3,6.115
Eastern and South-Eastern Asia,2050,13.3,6.114
Northern Africa and Western Asia,2015.0,21.5,3.926
Northern Africa and Western Asia,2016.0,21.43,4.01
Northern Africa and Western Asia,2017.0,21.38,4.081
Northern Africa and Western Asia,2018.0,21.34,4.149
Northern Africa and Western Asia,2019.0,21.29,4.215
Northern Africa and Western Asia,2020.0,21.25,4.28
Northern Africa and Western Asia,2021.0,21.21,4.342
Northern Africa and Western Asia,2022.0,21.16,4.402
Northern Africa and Western Asia,2023.0,21.12,4.46
Northern Africa and Western Asia,2024.0,21.08,4.518
Northern Africa and Western Asia,2025.0,21.03,4.573
Northern Africa and Western Asia,2026.0,20.98,4.627
Northern Africa and Western Asia,2027.0,20.93,4.679
Northern Africa and Western Asia,2028.0,20.88,4.73
Northern Africa and Western Asia,2029.0,20.83,4.779
Northern Africa and Western Asia,2030.0,20.78,4.826
Northern Africa and Western Asia,2031.0,20.73,4.873
Northern Africa and Western Asia,2032.0,20.67,4.918
Northern Africa and Western Asia,2033.0,20.62,4.963
Northern Africa and Western Asia,2034.0,20.57,5.006
Northern Africa and Western Asia,2035.0,20.52,5.049
Northern Africa and Western Asia,2036.0,20.47,5.091
Northern Africa and Western Asia,2037.0,20.42,5.133
Northern Africa and Western Asia,2038.0,20.37,5.174
Northern Africa and Western Asia,2039.0,20.32,5.214
Northern Africa and Western Asia,2040.0,20.27,5.249
Northern Africa and Western Asia,2041.0,20.22,5.282
Northern Africa and Western Asia,2042.0,20.17,5.314
Northern Africa and Western Asia,2043.0,20.12,5.345
Northern Africa and Western Asia,2044.0,20.07,5.372
Northern Africa and Western Asia,2045.0,20.02,5.4
Northern Africa and Western Asia,2046.0,19.96,5.427
Northern Africa and Western Asia,2047.0,19.91,5.453
Northern Africa and Western Asia,2048.0,19.85,5.479
Northern Africa and Western Asia,2049.0,19.79,5.503
Northern Africa and Western Asia,2050.0,19.73,5.528
Sub-Saharan Africa,2015.0,16.48,5.079
Sub-Saharan Africa,2016.0,16.49,5.193
Sub-Saharan Africa,2017.0,16.51,5.302
Sub-Saharan Africa,2018.0,16.52,5.409
Sub-Saharan Africa,2019.0,16.54,5.514
Sub-Saharan Africa,2020.0,16.56,5.616
Sub-Saharan Africa,2021.0,16.58,5.716
Sub-Saharan Africa,2022.0,16.6,5.814
Sub-Saharan Africa,2023.0,16.63,5.911
Sub-Saharan Africa,2024.0,16.65,6.006
Sub-Saharan Africa,2025.0,16.67,6.1
Sub-Saharan Africa,2026.0,16.7,6.194
Sub-Saharan Africa,2027.0,16.73,6.286
Sub-Saharan Africa,2028.0,16.75,6.377
Sub-Saharan Africa,2029.0,16.78,6.467
Sub-Saharan Africa,2030.0,16.81,6.556
Sub-Saharan Africa,2031.0,16.84,6.643
Sub-Saharan Africa,2032.0,16.87,6.728
Sub-Saharan Africa,2033.0,16.9,6.812
Sub-Saharan Africa,2034.0,16.93,6.894
Sub-Saharan Africa,2035.0,16.95,6.973
Sub-Saharan Africa,2036.0,16.98,7.045
Sub-Saharan Africa,2037.0,17.0,7.111
Sub-Saharan Africa,2038.0,17.02,7.171
Sub-Saharan Africa,2039.0,17.03,7.217
Sub-Saharan Africa,2040.0,17.04,7.262
Sub-Saharan Africa,2041.0,17.06,7.304
Sub-Saharan Africa,2042.0,17.07,7.347
Sub-Saharan Africa,2043.0,17.09,7.393
Sub-Saharan Africa,2044.0,17.1,7.441
Sub-Saharan Africa,2045.0,17.12,7.492
Sub-Saharan Africa,2046.0,17.14,7.545
Sub-Saharan Africa,2047.0,17.16,7.6
Sub-Saharan Africa,2048.0,17.18,7.658
Sub-Saharan Africa,2049.0,17.2,7.717
Sub-Saharan Africa,2050.0,17.21,7.777
Latin America and the Caribbean,2015.0,18.16,6.868
Latin America and the Caribbean,2016.0,18.09,6.944
Latin America and the Caribbean,2017.0,18.03,7.015
Latin America and the Caribbean,2018.0,17.96,7.084
Latin America and the Caribbean,2019.0,17.89,7.15
Latin America and the Caribbean,2020.0,17.83,7.212
Latin America and the Caribbean,2021.0,17.76,7.27
Latin America and the Caribbean,2022.0,17.7,7.327
Latin America and the Caribbean,2023.0,17.64,7.38
Latin America and the Caribbean,2024.0,17.57,7.432
Latin America and the Caribbean,2025.0,17.51,7.479
Latin America and the Caribbean,2026.0,17.44,7.524
Latin America and the Caribbean,2027.0,17.38,7.565
Latin America and the Caribbean,2028.0,17.31,7.602
Latin America and the Caribbean,2029.0,17.24,7.637
Latin America and the Caribbean,2030.0,17.17,7.669
Latin America and the Caribbean,2031.0,17.1,7.698
Latin America and the Caribbean,2032.0,17.03,7.724
Latin America and the Caribbean,2033.0,16.96,7.749
Latin America and the Caribbean,2034.0,16.88,7.771
Latin America and the Caribbean,2035.0,16.81,7.791
Latin America and the Caribbean,2036.0,16.74,7.809
Latin America and the Caribbean,2037.0,16.67,7.825
Latin America and the Caribbean,2038.0,16.6,7.839
Latin America and the Caribbean,2039.0,16.53,7.851
Latin America and the Caribbean,2040.0,16.45,7.862
Latin America and the Caribbean,2041.0,16.38,7.87
Latin America and the Caribbean,2042.0,16.31,7.877
Latin America and the Caribbean,2043.0,16.24,7.883
Latin America and the Caribbean,2044.0,16.17,7.886
Latin America and the Caribbean,2045.0,16.1,7.888
Latin America and the Caribbean,2046.0,16.03,7.889
Latin America and the Caribbean,2047.0,15.97,7.888
Latin America and the Caribbean,2048.0,15.9,7.886
Latin America and the Caribbean,2049.0,15.83,7.883
Latin America and the Caribbean,2050.0,15.76,7.878
